,SampleDate,N Gene gc/g dry weight,N Gene gc/g dry weight UCI,N Gene gc/g dry weight LCI,PMMoV gc/g dry weight,PMMoV gc/g dry weight UCI,PMMoV gc/g dry weight LCI,BCoV Recovery,BCoV Recovery UCI,BCoV Recovery LCI,N_norm_PMMoV,City
0,2022-04-21,0.0,0.0,0.0,448000000.0,572000000.0,346000000.0,1.83366,2.1376,1.5197,0.0,Woodland
1,2022-04-22,0.0,0.0,0.0,702000000.0,786000000.0,620000000.0,2.05744,2.59518,1.51302,0.0,Woodland
2,2022-04-23,,,,,,,,,,,Woodland
3,2022-04-24,,,,,,,,,,,Woodland
4,2022-04-25,18500.0,30800.0,5000.0,428000000.0,524000000.0,326000000.0,2.05744,2.46158,1.66332,4.322429906542056e-05,Woodland
5,2022-04-26,41000.0,56200.0,28800.0,816000000.0,950000000.0,690000000.0,2.338,2.94254,1.86372,5.0245098039215686e-05,Woodland
6,2022-04-27,0.0,0.0,0.0,316000000.0,478000000.0,133000000.0,2.51836,3.0227,2.02404,0.0,Woodland
7,2022-04-28,0.0,0.0,0.0,438000000.0,492000000.0,380000000.0,0.9018,1.07882,0.71142,0.0,Woodland
8,2022-04-29,61200.0,85200.0,37400.0,674000000.0,838000000.0,496000000.0,0.9853,1.1857,0.79158,9.080118694362018e-05,Woodland
9,2022-04-30,,,,,,,,,,,Woodland
10,2022-05-01,,,,,,,,,,,Woodland
11,2022-05-02,49000.0,69200.0,31000.0,320000000.0,380000000.0,260000000.0,3.12624,3.66732,2.57514,0.000153125,Woodland
12,2022-05-03,532000.0,960000.0,51600.0,476000000.0,538000000.0,418000000.0,2.31128,2.61856,2.0207,0.0011176470588235294,Woodland
13,2022-05-04,41000.0,57400.0,28000.0,368000000.0,440000000.0,308000000.0,2.3881,3.173,1.72344,0.00011141304347826087,Woodland
14,2022-05-05,39200.0,56000.0,20800.0,62800000.0,72000000.0,54400000.0,0.82832,1.0187,0.64796,0.000624203821656051,Woodland
15,2022-05-06,63400.0,83400.0,46800.0,1830000000.0,2320000000.0,1290000000.0,3.41682,3.95122,2.93252,3.46448087431694e-05,Woodland
16,2022-05-07,,,,,,,,,,,Woodland
17,2022-05-08,,,,,,,,,,,Woodland
18,2022-05-09,,,,,,,,,,,Woodland
19,2022-05-10,140000.0,246000.0,35600.0,288000000.0,322000000.0,260000000.0,1.62324,2.07414,1.2191,0.0004861111111111111,Woodland
20,2022-05-11,84400.0,111000.0,61600.0,998000000.0,1210000000.0,782000000.0,1.85036,2.17768,1.49632,8.45691382765531e-05,Woodland
21,2022-05-12,258000.0,304000.0,218000.0,1420000000.0,1660000000.0,1170000000.0,1.02538,1.20908,0.83166,0.00018169014084507042,Woodland
22,2022-05-13,64800.0,85400.0,43000.0,218000000.0,234000000.0,202000000.0,0.64462,0.78824,0.52104,0.00029724770642201837,Woodland
23,2022-05-14,,,,,,,,,,,Woodland
24,2022-05-15,,,,,,,,,,,Woodland
25,2022-05-16,51000.0,65800.0,38600.0,4320000000.0,11600000000.0,168000000.0,0.37074,0.45424,0.29726,1.1805555555555555e-05,Woodland
26,2022-05-17,91200.0,120000.0,56400.0,644000000.0,876000000.0,410000000.0,1.07548,1.25918,0.88844,0.00014161490683229814,Woodland
27,2022-05-18,216000.0,292000.0,127000.0,632000000.0,778000000.0,472000000.0,0.94522,1.31596,0.54442,0.00034177215189873416,Woodland
28,2022-05-19,238000.0,298000.0,187000.0,986000000.0,1300000000.0,704000000.0,0.8851,1.08884,0.69138,0.0002413793103448276,Woodland
