City,County_FIPS,PMMoV_gc_g_dry_weight,Population_Served,SC2_N_gc_g_dry_weight,SC2_N_norm_PMMoV,Site_Name,Zipcode,date,County
Carson,06037,978754578.7545788,3500000.0,638827.8388278388,0.0006526946107784,Joint Water Pollution Control Plant,90745.0,2022-01-09,Los Angeles
Carson,06037,1956607495.0690331,3500000.0,1136094.674556213,0.0005806451612903,Joint Water Pollution Control Plant,90745.0,2022-01-10,Los Angeles
Carson,06037,1159658119.6581197,3500000.0,127452.99145299144,0.0001099056603773,Joint Water Pollution Control Plant,90745.0,2022-01-12,Los Angeles
Carson,06037,1412315814.086629,3500000.0,281525.9225913371,0.0001993363805625,Joint Water Pollution Control Plant,90745.0,2022-01-16,Los Angeles
Carson,06037,987764266.6666667,3500000.0,437187.22219354846,0.0004426027919281,Joint Water Pollution Control Plant,90745.0,2022-01-17,Los Angeles
Carson,06037,1014018423.5196686,3500000.0,328574.29710973083,0.0003240318809684,Joint Water Pollution Control Plant,90745.0,2022-01-19,Los Angeles
Carson,06037,1187939453.125,3500000.0,12913.064824210276,1.08701371860671e-05,Joint Water Pollution Control Plant,90745.0,2022-01-23,Los Angeles
Carson,06037,1619518307.4698794,3500000.0,113524.91572690762,7.00979514731537e-05,Joint Water Pollution Control Plant,90745.0,2022-01-24,Los Angeles
Carson,06037,1041206190.5555556,3500000.0,147634.8506111111,0.0001417921368027,Joint Water Pollution Control Plant,90745.0,2022-01-26,Los Angeles
Carson,06037,1175149302.9422717,3500000.0,11506.557467411543,9.791570686892367e-06,Joint Water Pollution Control Plant,90745.0,2022-01-30,Los Angeles
Carson,06037,1076528010.15873,3500000.0,46149.23265015873,4.286858513170893e-05,Joint Water Pollution Control Plant,90745.0,2022-01-31,Los Angeles
Carson,06037,1907556826.0209727,3500000.0,44647.99994664477,2.340585577194956e-05,Joint Water Pollution Control Plant,90745.0,2022-02-02,Los Angeles
Carson,06037,1403880329.0299823,3500000.0,116629.89488536154,8.307680681440099e-05,Joint Water Pollution Control Plant,90745.0,2022-02-06,Los Angeles
Carson,06037,1083365163.6124794,3500000.0,80606.72052545156,7.44040174382833e-05,Joint Water Pollution Control Plant,90745.0,2022-02-07,Los Angeles
Carson,06037,1372107902.2222223,3500000.0,60800.446406349205,4.431170923793875e-05,Joint Water Pollution Control Plant,90745.0,2022-02-09,Los Angeles
Carson,06037,911158156.6984128,3500000.0,8206.438638730158,9.006601739116554e-06,Joint Water Pollution Control Plant,90745.0,2022-02-13,Los Angeles
Carson,06037,969548538.785185,3500000.0,17298.106439111114,1.7841403237825635e-05,Joint Water Pollution Control Plant,90745.0,2022-02-14,Los Angeles
